Id	text	user_location
0	halo selamat baca lepas pro kontra makin banyak orang vaksinasi apa apa	 Tasikmalaya, Jawa Barat
1	semua orang antri era presiden bingung vaksin orang lapar antri orang miskin antri makam jenazah covid tunggu tiap hari	 jawa tengah
2	istri mau vaksin kata sampa sana suruh pulang habis kontak positif kalau positif a dokter dulu	#JagakarsaCity
3	sabar dulu vaksin jujur tanya tugas sehat anjur	#JagakarsaCity
4	gais kalau demam vaksin lepaih telan obat demam parasetamol panadol	#cyberjaya #putrajaya #melaka 
5	tinggal sinovac china beli vaksin amerika	, Indonesia
6	china sendiri beli vaksin negara bangun	, Jakarta 
7	laku vaksinasi laku suntik vaksin suntik vaksin tahu beberapa penting suntik vaksin lalu	Aceh
8	bahkan sakit bahkan hubung vaksin	Aceh
9	halo min mohon cek dm min sertifikat vaksin terima kasih	Aceh, Indonesia
10	beri vaksin sinovac riwayat sehat saraf punggung jepit	Aceh, Indonesia
11	bantu kendali vaksinasi covid seluruh indonesia	Anyer, Indonesia
12	warga bandung silah cek jadwal vaksin hari fasilitas sehat kota bandung gambar ikut daftar silah hubung hotline tera salam sehat	Arcamanik, Indonesia
13	vaksin kemarin semangat tingkat	B.Lampung
14	mau vaksin jenis label halal kandung babi jangan ragu minum alkohol hehe	BSD - Makassar
15	halo kak vaksinasi sedia usia tahun beri tahu masalah aktivasi apa	BSD City, Tangerang
16	suami teman tinggal covid vaksin x simpul vaksinasi bukan jamin bebas covid terus proses jangan sombong vaksin penting lebih taat cipta allah swt agama islam	BSDcity,Tangerang
17	suami teman tinggal covid vaksin x simpul vaksinasi bukan jamin bebas covid terus proses jangan sombong vaksin penting lebih taat sang cipta allah swt agama islam	BSDcity,Tangerang
18	vaksin puskesmas kosong pihak acara vaksinasi cukup beri gambar bagaimana tangan krisis bangsa	Badung, Bali
19	duta vaksin mark lee	Bali
20	baik sama vaksin yuk segera vaksin	Bali
21	coba daftar beberapa kali buka cuma hari selalu penuh vaksin batas min kalau misal alokasi vaksin tiap hari daftar buka langsung misal	Bali
22	coba daftar beberapa kali buka cuma hari selalu penuh batas vaksin min kalau misal alokasi vaksin tiap hari daftar buka langsung misal	Bali
23	bicara layan fasilitas sehat vaksin tempat adu	Bali
24	daftar vaksin online bagus perlu rebut nomor antri	Bali island
25	vaksinasi cara pandemi cepat akhir perintah masyarakat peran penting jaga imunitas tubuh makan makan gizi istirahat cukup minum susu entrasol platinum kaya multivitamin protein baik tubuh	Bali, Indonesia
26	coba selesai vaksin giveaway	Bali, Indonesia
27	orang rajin wudhu sholat tetap kena covid lalu masjid tutup orang vaksin tetap kena covid tinggal lebih baik usaha vaksin tutup akhir logika prof begini malang	Bali, Indonesia
28	senang sia sia jadi vaksinator tiap kali tonton masuk data orang vaksin	Bali, Indonesia
29	update informasi vaksinasi wilayah denpasar sumber ig ktp denpasar luar domisili ktp luar surat terang kerja mana lokasi vaksinasi sesuai domisili tempat kerja mana sekolah sebut lokasi siswa sekolah sebut	Bali, Indonesia
30	update informasi vaksinasi wilayah denpasar sumber ig ktp denpasar luar domisili ktp luar surat terang kerja mana lokasi vaksinasi sesuai domisili tempat kerja mana sekolah siswa sekolah	Bali, Indonesia
31	menteri pppa fasilitas vaksinasi anak butuh lindung khusus	Bali, Indonesia
32	sarap dulu kak semangat vaksin moga hari senang	Bali, Indonesia
33	hei aku gagal vaksin anjing	Bali, Indonesia
34	sayang lindung vaksin baru maksimal minggu vaksinasi sedang baru terima vaksin pertama jalan jauh tetap waspada saling kuat	Bali, Indonesia
35	baik sobat pergi sekolah vaksinasi bau banget	Bali, Indonesia
36	vaksin segar mata	Bali, Indonesia
37	orang rajin wudhu sholat tetap kena covid lalu masjid tutup orang vaksin tetap kena covid tinggal baik usaha vaksin tutup habis logika prof begini maaf	Bali, Indonesia
38	vaksinasi sekolah swab tahu	Bali, Indonesia
39	kok efek samping vaksin pertama hilang vaksin beri padahal keluh pertama vaksin sinovac	Bali, Indonesia
40	kayak pak jokowi beli vaksin pakai uang pribadi kantong lebih banyak cebong pernah sadar utang terus tambah	Bali-Indonesia
41	mungkin diinput soal ikut vaksin kerja sama rs swasta vaksin selesai surat terang dokter staff bawa semua laptop langsung diinput jadwal vaksin	Balikpapan
42	min tahu hari vaksin kodim tunda kecewa vaksin tiba kata meski hari sabtu banyak vaksin kodim	Balikpapan
43	sumber vaksin beda pra lansia biasa puskesmas a vaksin masal giat eksternal dr b makanya dipkm sekarang buka dosis dosis penuh besok jelas a b apa apoteker paham beri vaksin masalah	Balikpapan - Malang
44	hmmmm aku cium gagal vaksin hari	Balikpapan Baru
